timestamp,channelID,sampleTime,value
430313,3102,1,BI,1,100,1120
430313,3103,1,HR,1,100,89.57
430353,3104,1,SF,1,100,19.8826
430353,3105,2,PI,1,100,177161,177171
430353,3106,2,PR,1,100,149549,149577
430353,3107,2,PG,1,100,13193,13208
430353,3108,2,EA,1,100,0.490522,0.490798
430353,3109,2,EL,1,100,-16752.400391,-16754.000000
430347,3110,1,T1,1,100,33.800
430359,3111,1,TH,1,100,31.268
430353,3112,2,AX,1,100,-1.012,-1.029
430353,3113,2,AY,1,100,0.208,0.219
430353,3114,2,AZ,1,100,-0.367,-0.399
430353,3115,2,GX,1,100,-3.479,-12.848
430353,3116,2,GY,1,100,-0.580,-2.136
430353,3117,2,GZ,1,100,0.458,1.709
430353,3118,2,MX,1,100,77,77
430353,3119,2,MY,1,100,-40,-40
430353,3120,2,MZ,1,100,-14,-13
430480,3121,4,EM,1,100,RS,RE,PS,MN
430480,3121,4,EM,1,100,RS,RE,PS,MN
430469,3122,3,PI,1,100,177196,177261,177318
430469,3123,3,PR,1,100,149591,149627,149692
430469,3124,3,PG,1,100,13218,13247,13266
430481,3125,2,EA,1,100,0.490798,0.490660
430481,3126,2,EL,1,100,-16754.000000,-16753.199219
430475,3127,1,T1,1,100,33.843
430488,3128,1,TH,1,100,31.268
430469,3129,3,AX,1,100,-1.011,-1.018,-1.048
430469,3130,3,AY,1,100,0.218,0.252,0.261
430469,3131,3,AZ,1,100,-0.339,-0.393,-0.556
430469,3132,3,GX,1,100,-29.877,-41.077,-55.420
430546,3138,2,PI,1,100,177357,177414
430546,3139,2,PR,1,100,149740,149808
430546,3140,2,PG,1,100,13281,13312
430546,3141,1,EA,1,100,0.490798
430546,3142,1,EL,1,100,-16754.000000
430546,3143,2,AX,1,100,-0.977,-0.984
430546,3144,2,AY,1,100,0.239,0.298
430546,3145,2,AZ,1,100,-0.379,-0.107
430546,3146,2,GX,1,100,-134.247,-194.702
430546,3147,2,GY,1,100,7.843,-5.798
430546,3148,2,GZ,1,100,16.846,23.285
430546,3149,2,MX,1,100,79,80
430546,3150,2,MY,1,100,-39,-38
430546,3151,2,MZ,1,100,-8,-4
430674,3152,1,SF,1,100,19.6526
430662,3153,3,PI,1,100,177522,177576,177609
430662,3154,3,PR,1,100,149906,149982,150036
430662,3155,3,PG,1,100,13351,13372,13396
430674,3156,2,EA,1,100,0.490833,0.490625
430674,3157,2,EL,1,100,-16754.199219,-16753.000000
430604,3158,1,T1,1,100,33.861
430617,3159,1,TH,1,100,31.246
430662,3160,3,AX,1,100,-1.020,-0.997,-0.943
430662,3161,3,AY,1,100,0.363,0.396,0.402
430662,3162,3,AZ,1,100,-0.210,-0.214,-0.120
430662,3163,3,GX,1,100,-148.987,-131.104,-141.296
430662,3164,3,GY,1,100,-9.644,18.829,24.261
430662,3165,3,GZ,1,100,15.839,21.393,24.353
430662,3166,3,MX,1,100,78,78,78
430662,3167,3,MY,1,100,-39,-38,-38
430662,3168,3,MZ,1,100,-1, 0, 2
431045,3172,4,EM,1,100,RS,RB,2025-05-14_11-15-22-871000.csv,PS,MN
431039,3169,1,RB,1,100,2025-05-14_11-15-22-871000
431040,3170,2,UN,1,100,Orden de grabación,2025-05-14_11-15-22-871000
431044,3171,2,UN,1,100,INICIA_GRABACION,2025-05-14_11-15-22-872000
